index,type,time,value_msat,value_sat,value_msat_total,value_sat_total,action,sender,app,message,podcast,episode,remote_podcast,remote_episode,custom_key,custom_value
2774,boost,"2025-07-02T21:56:44+00:00",33000,33,100000,100,2,"@thedoerfels","Fountain","ChadF+++++++++++++++++++++++++++++++++","Bowl After Bowl","Episode 344 ★ Bowls With Buds ★ ChadF","","","",""
2756,boost,"2025-07-02T02:03:54+00:00",33000,33,100000,100,2,"@chadf","Fountain","This will be #1 on the charts in no time!","Bowl After Bowl","Episode 344 ★ Bowls With Buds ★ ChadF","","","",""
2755,boost,"2025-07-02T01:53:21+00:00",33000,33,100000,100,2,"@chadf","Fountain","Spamming the feeds but this is one of the only shows I have a split in.","Bowl After Bowl","Episode 344 ★ Bowls With Buds ★ ChadF","","","",""
2754,boost,"2025-07-02T01:35:57+00:00",33000,33,100000,100,2,"@chadf","Fountain","3rd time the charm?","Bowl After Bowl","Episode 344 ★ Bowls With Buds ★ ChadF","","","",""
2753,boost,"2025-07-02T01:34:43+00:00",33000,33,100000,100,2,"@chadf","Fountain","how about now?","Bowl After Bowl","Episode 344 ★ Bowls With Buds ★ ChadF","","","",""
2752,boost,"2025-07-02T01:29:31+00:00",33000,33,100000,100,2,"@chadf","Fountain","Self Boost test.","Bowl After Bowl","Episode 344 ★ Bowls With Buds ★ ChadF","","","",""
2751,boost,"2025-07-01T17:31:02+00:00",5000,5,5000,5,2,"bitpunk.fm","Helipad","right back at you! :)","bitpunk.fm","Second God","","","696969","43"
2750,boost,"2025-06-30T22:57:33+00:00",5000,5,100000,100,2,"@chadf","Fountain","""Each new technology is a reprogramming of sensory life"" - Marshall McLuhan","bitpunk.fm","Second God","","","",""
2749,boost,"2025-06-30T22:37:28+00:00",5000,5,100000,100,2,"@chadf","Fountain","I don't necessarily agree with everything that I say. -Marshall McLuhan","bitpunk.fm","Second God","","","",""
2748,boost,"2025-06-30T22:22:07+00:00",5000,5,100000,100,2,"@chadf","Fountain","Start vibe coding they said! It's will be fun they said!  jk I'm having a blast.","bitpunk.fm","Second God","","","",""
2747,boost,"2025-06-30T22:06:52+00:00",5000,5,100000,100,2,"ChadF","Podcast Index","Toast 2","bitpunk.fm","Second God","","","",""
2745,boost,"2025-06-30T18:25:49+00:00",39000,39,4242000,4242,2,"@bitpunkfm","Fountain","Love this song! It starts off Side B!","bitpunk.fm","Second God","Mr. Videoman","Mr. Videoman","",""
2744,boost,"2025-06-30T18:22:46+00:00",21000,21,424000,424,2,"@bitpunkfm","Fountain","Boosting myself because I forgot a 0 in the node address the first time.","bitpunk.fm","Second God","","","",""
2743,boost,"2025-06-30T18:10:59+00:00",39000,39,4242000,4242,2,"@bitpunkfm","Fountain","Starting off this new bitpunk.fm tape with Øystein Berge!","bitpunk.fm","Second God","Baia Silko (Single)","Baia Silko (Single)","",""
