index,type,time,value_msat,value_sat,value_msat_total,value_sat_total,action,sender,app,message,podcast,episode,remote_podcast,remote_episode,custom_key,custom_value
139216,sent,"2025-07-03T19:27:49+00:00",24000,24,25000,25,2,"ChadF","LN Beats","","Entire Discography","dancehall","","","",""
139215,sent,"2025-07-03T19:27:41+00:00",1000,0,25000,25,2,"ChadF","LN Beats","","Entire Discography","dancehall","","","",""
139214,sent,"2025-07-03T19:16:37+00:00",24000,24,25000,25,2,"ChadF","LN Beats","","The Satellite Skirmish","Empath Eyes - Apathy","","","",""
139213,sent,"2025-07-03T16:38:48+00:00",96000,96,100000,100,2,"ChadF","LN Beats","","Aged Friends & Old Whiskey","Light & Shade","","","",""
139211,sent,"2025-07-03T16:38:43+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","Aged Friends & Old Whiskey","Light & Shade","","","",""
139210,sent,"2025-07-03T16:38:34+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","Aged Friends & Old Whiskey","Light & Shade","","","",""
139209,sent,"2025-07-03T16:38:33+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","Aged Friends & Old Whiskey","Light & Shade","","","",""
139208,sent,"2025-07-03T16:32:38+00:00",9000,9,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139207,sent,"2025-07-03T16:32:35+00:00",22000,22,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139206,sent,"2025-07-03T16:32:32+00:00",22000,22,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139205,sent,"2025-07-03T16:32:29+00:00",22000,22,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139204,sent,"2025-07-03T16:32:24+00:00",13000,13,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139203,sent,"2025-07-03T16:32:14+00:00",5000,5,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139202,sent,"2025-07-03T16:32:13+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139201,sent,"2025-07-03T16:32:03+00:00",5000,5,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139200,sent,"2025-07-03T16:30:08+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139199,sent,"2025-07-03T16:29:56+00:00",2000,2,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139198,sent,"2025-07-03T16:29:51+00:00",5000,5,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139197,sent,"2025-07-03T16:29:50+00:00",84000,84,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139196,sent,"2025-07-03T16:29:38+00:00",3000,3,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139195,sent,"2025-07-03T16:29:32+00:00",5000,5,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139194,sent,"2025-07-03T16:29:31+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139193,sent,"2025-07-03T16:28:04+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139192,sent,"2025-07-03T16:27:53+00:00",2000,2,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139191,sent,"2025-07-03T16:27:48+00:00",5000,5,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139190,sent,"2025-07-03T16:27:47+00:00",84000,84,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139189,sent,"2025-07-03T16:27:37+00:00",3000,3,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139188,sent,"2025-07-03T16:27:30+00:00",5000,5,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139187,sent,"2025-07-03T16:27:29+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Stockholm","Stockholm","",""
139186,sent,"2025-07-03T16:24:42+00:00",1000,0,333000,333,2,"ChadF","LN Beats","""Gonna be living in a van down by the river""  https://www.youtube.com/watch?v=0lcFuBDkxo0","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Grey State","River People","",""
139185,sent,"2025-07-03T16:24:41+00:00",63000,63,333000,333,2,"ChadF","LN Beats","""Gonna be living in a van down by the river""  https://www.youtube.com/watch?v=0lcFuBDkxo0","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Grey State","River People","",""
139184,sent,"2025-07-03T16:24:39+00:00",244000,244,333000,333,2,"ChadF","LN Beats","""Gonna be living in a van down by the river""  https://www.youtube.com/watch?v=0lcFuBDkxo0","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Grey State","River People","",""
139183,sent,"2025-07-03T16:24:26+00:00",6000,6,333000,333,2,"ChadF","LN Beats","""Gonna be living in a van down by the river""  https://www.youtube.com/watch?v=0lcFuBDkxo0","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Grey State","River People","",""
